run_id,variant,timestamp,backend,model_id,environment,prompt_id,prompt,quantization,repeat,success,failure_reason,load_seconds,quantization_seconds,generation_seconds,total_runtime_seconds,output_tokens,tokens_per_second,approximate_tpot_seconds,peak_ram_mb,param_mb_estimate,output_preview,notes
tfcpu-int8q-qwen2_0_5b-fp32_reference-os_definition-r1,fp32_reference,2026-06-20T15:15:37.071582+00:00,transformers,Qwen/Qwen2-0.5B,wsl_cpu,os_definition,Define an operating system in one short sentence.,none,1,True,,4.6904,,7.9031,7.9031,29,3.6694,0.272521,7988.5,2520.7,"An operating system is a software program that manages the hardware and software resources of a computer system, allowing users to run programs and perform task…","PyTorch dynamic INT8 (torch.ao.quantization.quantize_dynamic on Linear modules) vs FP32 reference, same cached Qwen2-0.5B, CPU. Dynamic INT8 only — NOT GGUF, NOT Q4, NOT Q8."
tfcpu-int8q-qwen2_0_5b-fp32_reference-ai_agent_short-r1,fp32_reference,2026-06-20T15:15:43.197515+00:00,transformers,Qwen/Qwen2-0.5B,wsl_cpu,ai_agent_short,"In one sentence, what is an AI agent?",none,1,True,,4.6904,,6.1104,6.1104,30,4.9097,0.20368,7000.7,2520.7,"An AI agent is a computer program that can perform tasks that require reasoning and decision-making, such as learning, decision-making, and problem-solving.","PyTorch dynamic INT8 (torch.ao.quantization.quantize_dynamic on Linear modules) vs FP32 reference, same cached Qwen2-0.5B, CPU. Dynamic INT8 only — NOT GGUF, NOT Q4, NOT Q8."
tfcpu-int8q-qwen2_0_5b-fp32_reference-memory_management_short-r1,fp32_reference,2026-06-20T15:15:48.493796+00:00,transformers,Qwen/Qwen2-0.5B,wsl_cpu,memory_management_short,"In one sentence, what does an operating system's memory manager do?",none,1,True,,4.6904,,5.2922,5.2923,27,5.1018,0.196007,7039.3,2520.7,"An operating system's memory manager is responsible for managing the allocation, deallocation, and management of memory resources in the operating system.","PyTorch dynamic INT8 (torch.ao.quantization.quantize_dynamic on Linear modules) vs FP32 reference, same cached Qwen2-0.5B, CPU. Dynamic INT8 only — NOT GGUF, NOT Q4, NOT Q8."
tfcpu-int8q-qwen2_0_5b-fp32_reference-os_definition-r2,fp32_reference,2026-06-20T15:15:54.128326+00:00,transformers,Qwen/Qwen2-0.5B,wsl_cpu,os_definition,Define an operating system in one short sentence.,none,2,True,,4.6904,,5.6303,5.6303,29,5.1507,0.194148,7039.3,2520.7,"An operating system is a software program that manages the hardware and software resources of a computer system, allowing users to run programs and perform task…","PyTorch dynamic INT8 (torch.ao.quantization.quantize_dynamic on Linear modules) vs FP32 reference, same cached Qwen2-0.5B, CPU. Dynamic INT8 only — NOT GGUF, NOT Q4, NOT Q8."
tfcpu-int8q-qwen2_0_5b-fp32_reference-ai_agent_short-r2,fp32_reference,2026-06-20T15:15:57.368575+00:00,transformers,Qwen/Qwen2-0.5B,wsl_cpu,ai_agent_short,"In one sentence, what is an AI agent?",none,2,True,,4.6904,,5.9681,5.9681,30,5.0267,0.198937,7039.3,2520.7,"An AI agent is a computer program that can perform tasks that require reasoning and decision-making, such as learning, decision-making, and problem-solving.","PyTorch dynamic INT8 (torch.ao.quantization.quantize_dynamic on Linear modules) vs FP32 reference, same cached Qwen2-0.5B, CPU. Dynamic INT8 only — NOT GGUF, NOT Q4, NOT Q8."
tfcpu-int8q-qwen2_0_5b-fp32_reference-memory_management_short-r2,fp32_reference,2026-06-20T15:16:02.620969+00:00,transformers,Qwen/Qwen2-0.5B,wsl_cpu,memory_management_short,"In one sentence, what does an operating system's memory manager do?",none,2,True,,4.6904,,5.2495,5.2495,27,5.1433,0.194426,7047.5,2520.7,"An operating system's memory manager is responsible for managing the allocation, deallocation, and management of memory resources in the operating system.","PyTorch dynamic INT8 (torch.ao.quantization.quantize_dynamic on Linear modules) vs FP32 reference, same cached Qwen2-0.5B, CPU. Dynamic INT8 only — NOT GGUF, NOT Q4, NOT Q8."
tfcpu-int8q-qwen2_0_5b-int8_dynamic-os_definition-r1,int8_dynamic,2026-06-20T15:16:08.487074+00:00,transformers,Qwen/Qwen2-0.5B,wsl_cpu,os_definition,Define an operating system in one short sentence.,int8_dynamic,1,True,,4.6904,14.006,2.5651,2.5651,32,12.4751,0.080159,7241.1,,____. A. 1 B. 2 C. 3 D. 4 答案: 1 ______ is the most,"PyTorch dynamic INT8 (torch.ao.quantization.quantize_dynamic on Linear modules) vs FP32 reference, same cached Qwen2-0.5B, CPU. Dynamic INT8 only — NOT GGUF, NOT Q4, NOT Q8."
tfcpu-int8q-qwen2_0_5b-int8_dynamic-ai_agent_short-r1,int8_dynamic,2026-06-20T15:16:10.281772+00:00,transformers,Qwen/Qwen2-0.5B,wsl_cpu,ai_agent_short,"In one sentence, what is an AI agent?",int8_dynamic,1,True,,4.6904,14.006,1.7871,1.7871,32,17.9061,0.055847,7041.8,,What is the most important thing that an AI agent should know to be successful? An AI agent should know how to use the language of the world to be successful,"PyTorch dynamic INT8 (torch.ao.quantization.quantize_dynamic on Linear modules) vs FP32 reference, same cached Qwen2-0.5B, CPU. Dynamic INT8 only — NOT GGUF, NOT Q4, NOT Q8."
tfcpu-int8q-qwen2_0_5b-int8_dynamic-memory_management_short-r1,int8_dynamic,2026-06-20T15:16:12.032645+00:00,transformers,Qwen/Qwen2-0.5B,wsl_cpu,memory_management_short,"In one sentence, what does an operating system's memory manager do?",int8_dynamic,1,True,,4.6904,14.006,1.7466,1.7466,32,18.3213,0.054581,7058.7,,What is the correct answer to this question? The operating system's memory manager is responsible for managing the memory of the operating system. It is a centr…,"PyTorch dynamic INT8 (torch.ao.quantization.quantize_dynamic on Linear modules) vs FP32 reference, same cached Qwen2-0.5B, CPU. Dynamic INT8 only — NOT GGUF, NOT Q4, NOT Q8."
tfcpu-int8q-qwen2_0_5b-int8_dynamic-os_definition-r2,int8_dynamic,2026-06-20T15:16:13.785548+00:00,transformers,Qwen/Qwen2-0.5B,wsl_cpu,os_definition,Define an operating system in one short sentence.,int8_dynamic,2,True,,4.6904,14.006,1.7496,1.7496,32,18.2899,0.054675,7058.7,,____. A. 1 B. 2 C. 3 D. 4 答案: 1 ______ is the most,"PyTorch dynamic INT8 (torch.ao.quantization.quantize_dynamic on Linear modules) vs FP32 reference, same cached Qwen2-0.5B, CPU. Dynamic INT8 only — NOT GGUF, NOT Q4, NOT Q8."
