run_id,quantization_variant,gguf_filename,timestamp,backend,model_id,environment,prompt_id,prompt,repeat,success,failure_reason,load_seconds,ttft_seconds,generation_seconds,total_runtime_seconds,prompt_tokens,output_tokens,tokens_per_second,tpot_seconds,itl_seconds,peak_ram_mb,estimated_model_file_mb,output_preview,notes
gguf-qwen2_5_0_5b-q8_0-os_definition-r1,q8_0,qwen2.5-0.5b-instruct-q8_0.gguf,2026-06-20T17:55:18.048687+00:00,llama_cpp_gguf,Qwen/Qwen2.5-0.5B-Instruct-GGUF,wsl_cpu,os_definition,Define an operating system in one short sentence.,1,True,,0.3902,0.443847,0.9655,0.9655,9,32,33.145,0.016826,0.016826,782.7,675.7,"An operating system is a software program that manages and controls the hardware resources of a computer system, providing services such as file management, dev…","GGUF CPU low-bit quantization sweep (llama-cpp-python) on Qwen2.5-0.5B-Instruct-GGUF. Separate small-model sweep — NOT AirLLM, NOT the Transformers Qwen2-0.5B runs, NOT a large-model baseline."
gguf-qwen2_5_0_5b-q8_0-ai_agent_short-r1,q8_0,qwen2.5-0.5b-instruct-q8_0.gguf,2026-06-20T17:55:19.047263+00:00,llama_cpp_gguf,Qwen/Qwen2.5-0.5B-Instruct-GGUF,wsl_cpu,ai_agent_short,"In one sentence, what is an AI agent?",1,True,,0.3902,0.424996,0.9947,0.9947,10,32,32.1706,0.018377,0.018377,784.7,675.7,"An AI agent is a computer program that can understand and respond to human language, making decisions, and performing tasks based on the information it has been…","GGUF CPU low-bit quantization sweep (llama-cpp-python) on Qwen2.5-0.5B-Instruct-GGUF. Separate small-model sweep — NOT AirLLM, NOT the Transformers Qwen2-0.5B runs, NOT a large-model baseline."
gguf-qwen2_5_0_5b-q8_0-memory_management_short-r1,q8_0,qwen2.5-0.5b-instruct-q8_0.gguf,2026-06-20T17:55:20.043671+00:00,llama_cpp_gguf,Qwen/Qwen2.5-0.5B-Instruct-GGUF,wsl_cpu,memory_management_short,"In one sentence, what does an operating system's memory manager do?",1,True,,0.3902,0.471806,0.8367,0.8367,14,23,27.4893,0.016586,0.016586,786.6,675.7,"An operating system's memory manager manages the allocation, deallocation, and allocation of memory for the system's processes.","GGUF CPU low-bit quantization sweep (llama-cpp-python) on Qwen2.5-0.5B-Instruct-GGUF. Separate small-model sweep — NOT AirLLM, NOT the Transformers Qwen2-0.5B runs, NOT a large-model baseline."
gguf-qwen2_5_0_5b-q8_0-os_definition-r2,q8_0,qwen2.5-0.5b-instruct-q8_0.gguf,2026-06-20T17:55:20.881906+00:00,llama_cpp_gguf,Qwen/Qwen2.5-0.5B-Instruct-GGUF,wsl_cpu,os_definition,Define an operating system in one short sentence.,2,True,,0.3902,0.324979,0.8559,0.8559,9,32,37.3892,0.017125,0.017125,788.6,675.7,"An operating system is a software program that manages and controls the hardware resources of a computer system, providing services such as file management, dev…","GGUF CPU low-bit quantization sweep (llama-cpp-python) on Qwen2.5-0.5B-Instruct-GGUF. Separate small-model sweep — NOT AirLLM, NOT the Transformers Qwen2-0.5B runs, NOT a large-model baseline."
gguf-qwen2_5_0_5b-q8_0-ai_agent_short-r2,q8_0,qwen2.5-0.5b-instruct-q8_0.gguf,2026-06-20T17:55:21.739495+00:00,llama_cpp_gguf,Qwen/Qwen2.5-0.5B-Instruct-GGUF,wsl_cpu,ai_agent_short,"In one sentence, what is an AI agent?",2,True,,0.3902,0.39233,0.9377,0.9377,10,32,34.1266,0.017592,0.017592,790.6,675.7,"An AI agent is a computer program that can understand and respond to human language, making decisions, and performing tasks based on the information it has been…","GGUF CPU low-bit quantization sweep (llama-cpp-python) on Qwen2.5-0.5B-Instruct-GGUF. Separate small-model sweep — NOT AirLLM, NOT the Transformers Qwen2-0.5B runs, NOT a large-model baseline."
gguf-qwen2_5_0_5b-q8_0-memory_management_short-r2,q8_0,qwen2.5-0.5b-instruct-q8_0.gguf,2026-06-20T17:55:22.683236+00:00,llama_cpp_gguf,Qwen/Qwen2.5-0.5B-Instruct-GGUF,wsl_cpu,memory_management_short,"In one sentence, what does an operating system's memory manager do?",2,True,,0.3902,0.357594,0.7414,0.7414,14,23,31.0235,0.017444,0.017444,792.3,675.7,"An operating system's memory manager manages the allocation, deallocation, and allocation of memory for the system's processes.","GGUF CPU low-bit quantization sweep (llama-cpp-python) on Qwen2.5-0.5B-Instruct-GGUF. Separate small-model sweep — NOT AirLLM, NOT the Transformers Qwen2-0.5B runs, NOT a large-model baseline."
gguf-qwen2_5_0_5b-q4_k_m-os_definition-r1,q4_k_m,qwen2.5-0.5b-instruct-q4_k_m.gguf,2026-06-20T17:55:24.065603+00:00,llama_cpp_gguf,Qwen/Qwen2.5-0.5B-Instruct-GGUF,wsl_cpu,os_definition,Define an operating system in one short sentence.,1,True,,0.5363,0.477087,1.0649,1.0649,9,32,30.0509,0.01896,0.01896,683.2,491.4,"An operating system is a software program that manages and controls the hardware and software resources of a computer system, providing a user interface, and co…","GGUF CPU low-bit quantization sweep (llama-cpp-python) on Qwen2.5-0.5B-Instruct-GGUF. Separate small-model sweep — NOT AirLLM, NOT the Transformers Qwen2-0.5B runs, NOT a large-model baseline."
gguf-qwen2_5_0_5b-q4_k_m-ai_agent_short-r1,q4_k_m,qwen2.5-0.5b-instruct-q4_k_m.gguf,2026-06-20T17:55:25.132923+00:00,llama_cpp_gguf,Qwen/Qwen2.5-0.5B-Instruct-GGUF,wsl_cpu,ai_agent_short,"In one sentence, what is an AI agent?",1,True,,0.5363,0.339974,0.7995,0.7995,10,24,30.0174,0.019981,0.019981,684.8,491.4,An AI agent is a computer program that can perform tasks or make decisions based on input from users or other AI agents.,"GGUF CPU low-bit quantization sweep (llama-cpp-python) on Qwen2.5-0.5B-Instruct-GGUF. Separate small-model sweep — NOT AirLLM, NOT the Transformers Qwen2-0.5B runs, NOT a large-model baseline."
gguf-qwen2_5_0_5b-q4_k_m-memory_management_short-r1,q4_k_m,qwen2.5-0.5b-instruct-q4_k_m.gguf,2026-06-20T17:55:25.934134+00:00,llama_cpp_gguf,Qwen/Qwen2.5-0.5B-Instruct-GGUF,wsl_cpu,memory_management_short,"In one sentence, what does an operating system's memory manager do?",1,True,,0.5363,0.394364,0.7445,0.7445,14,22,29.5506,0.016673,0.016673,685.0,491.4,"An operating system's memory manager manages memory allocation, deallocation, and allocation of memory for applications and processes.","GGUF CPU low-bit quantization sweep (llama-cpp-python) on Qwen2.5-0.5B-Instruct-GGUF. Separate small-model sweep — NOT AirLLM, NOT the Transformers Qwen2-0.5B runs, NOT a large-model baseline."
gguf-qwen2_5_0_5b-q4_k_m-os_definition-r2,q4_k_m,qwen2.5-0.5b-instruct-q4_k_m.gguf,2026-06-20T17:55:26.680094+00:00,llama_cpp_gguf,Qwen/Qwen2.5-0.5B-Instruct-GGUF,wsl_cpu,os_definition,Define an operating system in one short sentence.,2,True,,0.5363,0.229564,0.7973,0.7973,9,32,40.1374,0.018313,0.018313,685.2,491.4,"An operating system is a software program that manages and controls the hardware and software resources of a computer system, providing a user interface, and co…","GGUF CPU low-bit quantization sweep (llama-cpp-python) on Qwen2.5-0.5B-Instruct-GGUF. Separate small-model sweep — NOT AirLLM, NOT the Transformers Qwen2-0.5B runs, NOT a large-model baseline."
